
Ampersand Art Supply, Inc.
P.O. Box 1440
Buda, TX  78610

Sales [Customer Detail]

December 2014
3/19/15	Page 1
10:42:19 PM
	ID#	Date	Quantity	Item/Acct	Description	Amount	Status	Customer PO #	Promised Date	Referral Source

Aboveground Art Supplies	*None
	14013629	12/19/14	1	APC.75 044	Cs(10) 3/4" Crad ArtistP - 4x4	$22.02	Order	0060880	12/11/14

					Aboveground Art Supplies Total:	$22.02

AC Moore, Inc.	*None
	15011624	12/29/14	4	APS0404	Cs.(30) Smooth Artist Pnl: 4x4	$34.80	Order	86626808	2/13/15
	15011624	12/29/14	2	APS0507	Cs.(30) Smooth Artist Pnl: 5x7	$46.80	Order	86626808	2/13/15
	15011624	12/29/14	19	APS0606	Cs.(30) Smooth Artist Pnl: 6x6	$324.90	Order	86626808	2/13/15
	15011624	12/29/14	4	APS0808	Cs.(30) Smooth Artist Pnl: 8x8	$118.80	Order	86626808	2/13/15
	15011624	12/29/14	13	APS0810	Cs(36) Smooth Artist Pnl: 8x10	$580.32	Order	86626808	2/13/15
	15011624	12/29/14	5	APS0912	Cs(20) Smooth Artist Pnl: 9x12	$153.00	Order	86626808	2/13/15
	15011624	12/29/14	11	APS1114	Cs(20) Smooth ArtistPnl: 11x14	$409.20	Order	86626808	2/13/15
	15011624	12/29/14	4	APS1212	Cs(20) Smooth ArtistPnl: 12x12	$139.20	Order	86626808	2/13/15
	15011624	12/29/14	6	APS1216	Cs(24) Smooth ArtistPnl: 12x16	$296.64	Order	86626808	2/13/15
	15011624	12/29/14	7	APS1620	Cs(20) Smooth ArtistPnl: 16x20	$456.40	Order	86626808	2/13/15

					AC Moore, Inc. Total:	$2,560.06

Ampersand Art Supply	*None
	14013633	12/20/14	10	10005A	Claybord - 3"x5" sample	$0.00	Order	6-2515 JAN-15	1/1/15
	14013614	12/1/14	110	10005B	Claybord 5x7 Single PACKED WITH BROCHURE	$0.00	Order	6-2110 end-14	1/1/15
	14013633	12/20/14	25	10005B	Claybord 5x7 Single	$0.00	Order	6-2515 JAN-15	1/1/15
	14013635	12/21/14	30	10005B	Claybord 5x7 Single	$0.00	Order	6-2631 JAN-15	1/19/14
	14013615	12/1/14	1	10006B	Aquabord 5x7 Single	$0.00	Order	6-2515 end-14	1/1/15
	14013633	12/20/14	30	10006B	Aquabord 5x7 Single	$0.00	Order	6-2515 JAN-15	1/1/15
	14013635	12/21/14	25	10006B	Aquabord 5x7 Single	$0.00	Order	6-2631 JAN-15	1/19/14
	14013614	12/1/14	50	10007B	Gessobord 5x7 Single	$0.00	Order	6-2110 end-14	1/1/15
	14013633	12/20/14	25	10007B	Gessobord 5x7 Single	$0.00	Order	6-2515 JAN-15	1/1/15
	14013633	12/20/14	30	10007B	Gessobord 5x7 Single	$0.00	Order	6-2515 JAN-15	1/1/15
	14013634	12/20/14	25	10007B	Gessobord 5x7 Single	$0.00	Order	6-2110 JAN-15	1/15/15
	14013635	12/21/14	30	10007B	Gessobord 5x7 Single	$0.00	Order	6-2631 JAN-15	1/19/14
	14013633	12/20/14	32	10008B		$0.00	Order	6-2515 JAN-15	1/1/15
	14013615	12/1/14	1	10009B	Pastelbord 5x7 Single	$0.00	Order	6-2515 end-14	1/1/15
	14013633	12/20/14	30	10012B	Pastelbord White  5 x 7 Single	$0.00	Order	6-2515 JAN-15	1/1/15
	14013615	12/1/14	50	10015	Encausticbord 5x7 Single	$0.00	Order	6-2515 end-14	1/1/15
	14013615	12/1/14	1	10015	Encausticbord 5x7 Single	$0.00	Order	6-2515 end-14	1/1/15
	14013634	12/20/14	30	10015	Encausticbord 5x7 Single	$0.00	Order	6-2110 JAN-15	1/15/15
	15011612	12/28/14	1	AMPSK	Case(10) Scratch Knives	$29.10	Order	AMEAMPERSAND15	1/12/15
	14013615	12/1/14	0.1	AMPSMPLR02	(10) Ampersand Sampler PK	$3.15	Order	6-2515 end-14	1/1/15
	14013634	12/20/14	0.6	AMPSMPLR02	(10) Ampersand Sampler PK	$0.00	Order	6-2110 JAN-15	1/15/15
	14013635	12/21/14	1	AMPSMPLR02	(10) Ampersand Sampler PK	$0.00	Order	6-2631 JAN-15	1/19/14
	14013635	12/21/14	10	AMPSMPLR02	(10) Ampersand Sampler PK	$0.00	Order	6-2631 JAN-15	1/19/14
	15011612	12/28/14	2	AMPSMPLR02	(10) Ampersand Sampler PK	$52.43	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	1	AMPTOOL1	Case(10) Claybord Toolkit	$121.09	Order	AMEAMPERSAND15	1/12/15
	14013633	12/20/14	0.4	AP9M 066	Cs(10) 3/8" Artist Panel - 6x6	$0.00	Order	6-2515 JAN-15	1/1/15
	14013635	12/21/14	0.4	AP9M 1216	Cs(5) 3/8" Artist Panel-12x16 (2)	$0.00	Order	6-2631 JAN-15	1/19/14
	14013635	12/21/14	0.1	AP9M 810	Cs(10) 3/8" Artist Panel- 8x10	$0.00	Order	6-2631 JAN-15	1/19/14
	14013635	12/21/14	2.5	AP9M 912	Cs(10) 3/8" Artist Panel- 9x12 (25)	$0.00	Order	6-2631 JAN-15	1/19/14
	15011612	12/28/14	2	APC.75 044	Cs(10) 3/4" Crad ArtistP - 4x4	$47.18	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	4	APC.75 088	Cs(10) 3/4" Crad ArtistP - 8x8	$137.85	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	1	APC1.5 044	Cs(10) 1.5" Crad ArtistP - 4x4	$43.28	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	2	APC1.5 1010	Cs(5) 1.5" Crad ArtistP- 10x10	$77.78	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	2	APC1.5 122	Cs(5) 1.5" Crad ArtistP- 12x12	$86.59	Order	AMEAMPERSAND15	1/12/15
	15011612	12/28/14	2	APC1.5 612	Cs(5) 1.5" Crad ArtistP - 6x12	$65.96	Order	AMEAMPERSAND15	1/12/15
	14013633	12/20/14	0.028	APS0810	Cs(36) Smooth Artist Pnl: 8x10	$0.00	Order	6-2515 JAN-15	1/1/15
	14013635	12/21/14	0.028	APS0810	Cs(36) Smooth Artist Pnl: 8x10	$0.00	Order	6-2631 JAN-15	1/19/14
	14013615	12/1/14	0.05	APS1114	Cs(20) Smooth ArtistPnl: 11x14	$0.00	Order	6-2515 end-14	1/1/15
	14013615	12/1/14	0.1	CBB05	Case(10-3Pk) 5x7 Scratchbord	$0.00	Order	6-2515 end-14	1/1/15
	15011612	12/28/14	1	CBB05	Case(10-3Pk) 5x7 Scratchbord	$45.45	Order	AMEAMPERSAND15	1/12/15
	14013615	12/1/14	0.056	CBB08	Case (36) 8x10 Scratchbord	$0.00	Order	6-2515 end-14	1/1/15
	15011612	12/28/14	1	CBB08	Case (36) 8x10 Scratchbord	$123.53	Order	AMEAMPERSAND15	1/12/15
	14013634	12/20/14	0.1	CBB11	Case (20) 11x14 Scratchbord	$0.00	Order	6-2110 JAN-15	1/15/15
	15011612	12/28/14	1	CBB11	Case (20) 11x14 Scratchbord	$101.70	Order	AMEAMPERSAND15	1/12/15
	14013615	12/1/14	0.15	CBB16	Case (20) 16x20 Scratchbord	$0.00	Order	6-2515 end-14	1/1/15
	14013615	12/1/14	0.125	CBB18	Case (16) 18x24 Scratchbord	$0.00	Order	6-2515 end-14	1/1/15
	14013614	12/1/14	1	CBBSAM	Box Scratchbord 3x5 Samples	$0.00	Order	6-2110 end-14	1/1/15
	14013615	12/1/14	2	CBBSAM	Box Scratchbord 3x5 Samples	$0.00	Order	6-2515 end-14	1/1/15
	14013633	12/20/14	4	CBBSAM	Box Scratchbord 3x5 Samples	$0.00	Order	6-2515 JAN-15	1/1/15
