SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
10015,Encausticbord 5x7 Single,1,1,Encausticbord,,5,7,"1/8""",-,"1/8""",-
50031318,(10)13x18 Pastelbord 3mm Grey,10,1,Pastelbord,gray,13,18,"1/8""",-,"1/8""",-
50031824,(10)18x24 Pastelbord 3mm Grey,10,1,Pastelbord,gray,18,24,"1/8""",-,"1/8""",-
50032020,(10)20x20 Pastelbord 3mm Grey,10,1,Pastelbord,gray,20,20,"1/8""",-,"1/8""",-
50032430,(10)24x30 Pastelbord 3mm Grey,10,1,Pastelbord,gray,24,30,"1/8""",-,"1/8""",-
50033040,(10)30x40 Pastelbord 3mm Grey,10,1,Pastelbord,gray,30,40,"1/8""",-,"1/8""",-
50034050,(10)40x50 Pastelbord 3mm Grey,10,1,Pastelbord,gray,40,50,"1/8""",-,"1/8""",-
51031318,(10) 13x18Pastelbord 3mm White,10,1,Pastelbord,white,13,18,"1/8""",-,"1/8""",-
51031824,(10)18x24 Pastelbord 3mm White,10,1,Pastelbord,white,18,24,"1/8""",-,"1/8""",-
51032020,(10)20x20 Pastelbord 3mm White,10,1,Pastelbord,white,20,20,"1/8""",-,"1/8""",-
51032430,(10)24x30 Pastelbord 3mm White,10,1,Pastelbord,white,24,30,"1/8""",-,"1/8""",-
51033040,(10)30x40 Pastelbord 3mm White,10,1,Pastelbord,white,30,40,"1/8""",-,"1/8""",-
90031010,(20)10x10 AP PrimedSmooth 3mm,20,1,Artist Panel Smooth,,10,10,"1/8""",-,"1/8""",-
90031318,(20)13x18 AP PrimedSmooth 3mm,20,1,Artist Panel Smooth,,13,18,"1/8""",-,"1/8""",-
90031824,(20)18x24 AP PrimedSmooth 3mm,20,1,Artist Panel Smooth,,18,24,"1/8""",-,"1/8""",-
90032020,(20)20x20 AP PrimedSmooth 3mm,20,1,Artist Panel Smooth,,20,20,"1/8""",-,"1/8""",-
90032430,(10)24x30 AP PrimedSmooth 3mm,10,1,Artist Panel Smooth,,24,30,"1/8""",-,"1/8""",-
90033030,(10)30x30 AP PrimedSmooth 3mm,10,1,Artist Panel Smooth,,30,30,"1/8""",-,"1/8""",-
90034050,(10)40x50 AP PrimedSmooth 3mm,10,1,Artist Panel Smooth,,40,50,"1/8""",-,"1/8""",-
90034060,(10)40x60 AP PrimedSmooth 3mm,10,1,Artist Panel Smooth,,40,60,"1/8""",-,"1/8""",-
90035070,(5)50x70 AP PrimedSmooth 3mm,5,1,Artist Panel Smooth,,50,70,"1/8""",-,"1/8""",-
90221010,(10)10x10 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,10,10,"1/8""","3/4""","7/8""","3/4"""
90221824,(10)18x24 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,18,24,"1/8""","3/4""","7/8""","3/4"""
90222020,(10)20x20 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,20,20,"1/8""","3/4""","7/8""","3/4"""
90222030,(10)20x30 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,20,30,"1/8""","3/4""","7/8""","3/4"""
90222430,(10)24x30 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,24,30,"1/8""","3/4""","7/8""","3/4"""
90223030,(10)30x30 AP PrimedSmooth2.2cm,10,1,Artist Panel Smooth,,30,30,"1/8""","3/4""","7/8""","3/4"""
90223040,(5)30x40 AP PrimedSmooth2.2cm,5,1,Artist Panel Smooth,,30,40,"1/8""","3/4""","7/8""","3/4"""
90381824,(10)18x24 AP PrimedSmooth3.8cm,10,1,Artist Panel Smooth,,18,24,"1/8""","1 3/8""","1.5""","3/4"""
90382020,(10)20x20 AP PrimedSmooth3.8cm,10,1,Artist Panel Smooth,,20,20,"1/8""","1 3/8""","1.5""","3/4"""
90382030,(10)20x30 AP PrimedSmooth3.8cm,10,1,Artist Panel Smooth,,20,30,"1/8""","1 3/8""","1.5""","3/4"""
90382430,(10)24x30 AP PrimedSmooth3.8cm,10,1,Artist Panel Smooth,,24,30,"1/8""","1 3/8""","1.5""","3/4"""
90383030,(10)30x30 AP PrimedSmooth3.8cm,10,1,Artist Panel Smooth,,30,30,"1/8""","1 3/8""","1.5""","3/4"""
90383040,(5)30x40 AP PrimedSmooth3.8cm,5,1,Artist Panel Smooth,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
90384040,(5)40x40 AP PrimedSmooth3.8cm,5,1,Artist Panel Smooth,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
90384060,(5)40x60 AP PrimedSmooth3.8cm,5,1,Artist Panel Smooth,,40,60,"1/8""","1 3/8""","1.5""","3/4"""
