SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
100120808,"(10)Claybord 8x8-1/8""",10,1,Claybord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
100121114,"(10) Claybord 11x14-1/8""",10,1,Claybord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
200120808,"(10)Gessobord 8x8 1/8""",10,1,Gessobord,,8,8,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
200120810,"(10)Gessobord 8x10 1/8""",10,1,Gessobord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
200120912,"(10)Gessobord 9x12 1/8""",10,1,Gessobord,,9,12,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
400120507,"(10)Aquabord  5x7- 1/8""",10,1,Aquabord,,5,7,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
400120810,"(10)Aquabord  8x10- 1/8""",10,1,Aquabord,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
400121114,"(10)Aquabord  11x14- 1/8""",10,1,Aquabord,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB055S,Scratchbord 5x5 Single,1,1,Scratchbord,,5,5,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
CBB066S,Scratchbord 6x6 Single,1,1,Scratchbord,,6,6,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
200871824,"(5)Gessobord Cradled 7/8""18x24",5,1,Gessobord,,18,24,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,?
400871216,"(5)Aquabord Cradled 7/8"" 12x16",5,1,Aquabord,,12,16,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
910120810,"(20)AP Primed Smooth 1/8""-8x10",20,1,Artist Panel Smooth,,8,10,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
910121114,"(10)AP Primed Smooth1/8""-11x14",10,1,Artist Panel Smooth,,11,14,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
910121620,"(10)AP Primed Smooth1/8""-16x20",10,1,Artist Panel Smooth,,16,20,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
APC7540404,"Cs(12-4PK) 3/4""  ArtistP - 4x4",12,4,Artist Panel,,4,4,"1/8""","5/8""","3/4""","1/2""",,,,,,,,,,,,,
APC7560604,"Cs(12-4PK) 3/4""  ArtistP - 6x6",12,4,Artist Panel,,6,6,"1/8""","5/8""","3/4""","1/2""",,,,,,,,,,,,,
UPWP754603,"Cs(12-3PK) 7/8"" Unprimed 4X6",12,3,Artist Panel Basswood,,4,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
UPWP755703,"Cs(12-3PK) 7/8"" Unprimed 5X7",12,3,Artist Panel Basswood,,5,7,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
EN0404,"Cs.(10-4Pk) 1/8"" Encaustic 4x4",10,4,Encausticbord,,4,4,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
EN055,"Cs.(10-4Pk) 1/8"" Encaustic 5x5",10,4,Encausticbord,,5,5,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
EN057,"Cs.(10-3Pk) 1/8"" Encaustic 5x7",10,3,Encausticbord,,5,7,"1/8""",-,"1/8""",-,,,,,,,,,,,,,
