SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
10000004-MK,Merchandising Kit for 1000004,,,,,,,,,,
10005,"Claybord - 5""x7"" sample",,,,,,,,,,
10007A,Gessobord 3x5 sample,,,,,,,,,,
10009A,Pastelbord 3x5 Sample,,,,,,,,,,
136090088,DB Stdo Trdtnl Panel 8x8 3/4,,,,,,,,,,
136090810,DB Stdo Trdtnl Panel 8x10 3/4,,,,,,,,,,
136100066,DB Std Gallery Panel 6x6 1.5,,,,,,,,,,
136100088,DB Std Gallery Panel 8x8 1.5,,,,,,,,,,
136100912,DB Std Gallery Panel 9x12 1.5,,,,,,,,,,
136101620,DB Std Gallery Panel 16x20 1.5,,,,,,,,,,
20004D,"Fullcoat Hardboard - S2S -1/4""",,,,,,,,,,
20004R,Dibond,,,,,,,,,,
20021C,"12 ply 3/4"" Russian Birch- 5x5",,,,,,,,,,
20021d,"9-Ply Russian Birch 1/2"" (5x5)",,,,,,,,,,
50006,Tips and Tech Broch,,,,,,,,,,
50020ZB,Zoo Animal Book,,,,,,,,,,
50029j,Stampbord Toolkit Label,,,,,,,,,,
50029K,Stampbord WireBrush Label,,,,,,,,,,
50029L,Stampbord LineTool Label,,,,,,,,,,
50029N,Stampbord FiberBrush Label,,,,,,,,,,
6002-34R,Wire Display - Rt Face w/sign,,,,,,,,,,
60071,Box for MGBS1 & 2,,,,,,,,,,
60072,Box for MGBS3,,,,,,,,,,
60073,Box for MGBS4,,,,,,,,,,
60078,Pallet Stack Container,,,,,,,,,,
60100,Corner Protectors - Small Box,,,,,,,,,,
60102,Corner protector - 24x18 flat,,,,,,,,,,
60103,Corner protector - 24x36 flat,,,,,,,,,,
60161,"2"" Gesso Box Label - Small",,,,,,,,,,
700120507,Artist Panel 3m 5x7,,,,,,,,,,
80001,Steel Wool #0000,,,,,,,,,,
80002,Steel Wool #00,,,,,,,,,,
ALPHABOOK,Case(12) Alphabet Book,,,,,,,,,,
AMPCLAY,Gallon of Clay Slurry,,,,,,,,,,
AMPEU-BOTTOM,Ampersand Euro Cabinet-Bottom,,,,,,,,,,
AMPEU-MIDDLE,Ampersand Euro Cabinet-Middle,,,,,,,,,,
AMPEU-TOP,Ampersand Euro Cabinet-Top,,,,,,,,,,
AMPEU1-BS-B,Backstopper kit B,,,,,,,,,,
AMPEU1-BS01,Backstopper kit 01,,,,,,,,,,
AMPEU1-BS02,Backstopper kit 02,,,,,,,,,,
AMPEU1-BS03,Backstopper kit 03,,,,,,,,,,
AMPEU1-MR-B,Metal rod kit B,,,,,,,,,,
AMPEU1-MR01,Metal rod kit 01,,,,,,,,,,
AMPEU1-MR02,Metal rod kit 02,,,,,,,,,,
AMPEU1-MR03,Metal rod kit 03,,,,,,,,,,
AMPFB,Case(10) Fiber Brushes,,,,,,,,,,
AMPSMPLR02,(10) Ampersand Sampler PK,,,,,,,,,,
AMPSTEEL,Cs(12-3Pk) Oil Free Steel Wool,,,,,,,,,,
AMPTOOL1,Case(10) Claybord Toolkit,,,,,,,,,,
APSSAM,Box of 3x5 Artist Panel Smooth,,,,,,,,,,
APSTK1,"AP Stack: 9x12 & 12x12 - 1.5""",,,,,,,,,,
APSTK2,"AP Stack: 9x12 & 12x12 - 3/4""",,,,,,,,,,
ART WHITE-1/8,"Custom Art White -1/8"" :",,,,,,,,,,
BPCAB1BOT,Big Panel Dispay - 1ft Bottom,,,,,,,,,,
BPCAB1TOP,Big Panel Display - 1 ft Top,,,,,,,,,,
BPCAB3BOT,Big Panel Display-3 ft Bottom,,,,,,,,,,
