length,width,unit,panel_depth,panel_depth_unit,cradle_depth,cradle_depth_unit,cradle_width,cradle_width_unit,coating_length,coating_width,coating_unit,spray_color,coating
16,16,in,0.125,in,0.75,in,0.75,in,49.25,39,in,white,Aquabord
6,6,in,0.375,in,2,in,0.5,in,48.5,18,in,gray,Artist Panel
12,12,in,0.25,in,0.625,in,,,48.5,32,in,green,Artist Panel Basswood
28,22,in,,,1.375,in,,,48.5,25.88,in,sand,Artist Panel Smooth
30,22,in,,,,,,,24,5,in,,Claybord
24,8,in,,,,,,,48.5,15.75,in,,Encausticbord
18,6,in,,,,,,,49.25,32,in,,Gessobord
12,9,in,,,,,,,49.25,25.88,in,,Hardbord
36,30,in,,,,,,,49.25,18,in,,Natural Wood Panel
10,8,in,,,,,,,,,,,Pastelbord
5,5,in,,,,,,,,,,,Scratchbord
40,30,in,,,,,,,,,,,
36,18,in,,,,,,,,,,,
4,4,in,,,,,,,,,,,
12,6,in,,,,,,,,,,,
15,11,in,,,,,,,,,,,
24,24,in,,,,,,,,,,,
36,36,in,,,,,,,,,,,
48,36,in,,,,,,,,,,,
30,20,in,,,,,,,,,,,
8,6,in,,,,,,,,,,,
24,20,in,,,,,,,,,,,
30,24,in,,,,,,,,,,,
6,4,in,,,,,,,,,,,
20,20,in,,,,,,,,,,,
24,6,in,,,,,,,,,,,
24,12,in,,,,,,,,,,,
22,15,in,,,,,,,,,,,
30,30,in,,,,,,,,,,,
20,10,in,,,,,,,,,,,
7,5,in,,,,,,,,,,,
36,24,in,,,,,,,,,,,
16,12,in,,,,,,,,,,,
14,11,in,,,,,,,,,,,
16,8,in,,,,,,,,,,,
10,10,in,,,,,,,,,,,
18,14,in,,,,,,,,,,,
30,10,in,,,,,,,,,,,
36,12,in,,,,,,,,,,,
24,18,in,,,,,,,,,,,
8,8,in,,,,,,,,,,,
18,18,in,,,,,,,,,,,
48,12,in,,,,,,,,,,,
20,16,in,,,,,,,,,,,
4.75,3,in,,,,,,,,,,,
15.75,2.5,in,,,,,,,,,,,
2,2,in,,,,,,,,,,,
3.5,2.5,in,,,,,,,,,,,
18,13,cm,,,,,,,,,,,
70,50,cm,,,,,,,,,,,
30,15,cm,,,,,,,,,,,
24,18,cm,,,,,,,,,,,
10,10,cm,,,,,,,,,,,
30,20,cm,,,,,,,,,,,
20,20,cm,,,,,,,,,,,
60,40,cm,,,,,,,,,,,
50,50,cm,,,,,,,,,,,
40,30,cm,,,,,,,,,,,
7,5,cm,,,,,,,,,,,
30,30,cm,,,,,,,,,,,
50,40,cm,,,,,,,,,,,
40,40,cm,,,,,,,,,,,
30,24,cm,,,,,,,,,,,
