Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit2
Page 1,48,48.5,15.75,A:48  I:18(2)->A:15 I:14(1)___I:11(1)->A:15 I:14(1),0,2,14,18,in,0,1,11,14,in,,,,,
Page 1,45,48.5,15.75,A:48  I:11(4)->A:15 I:14(1)___I:3(1)->A:15.1 I:4.75(3),0,4,11,14,in,0,3,3,4.75,in,,,,,
Page 1,48,48.5,15.75,A:48  I:11(4)->A:15 I:14(1)___I:3(1)->A:15.1 I:4.75(3),0,4,11,14,in,0,3,3,4.75,in,,,,,
Page 1,36,48.5,15.75,A:48.15  I:11(3)->A:15 I:14(1)___I:7(2)->A:15.6 I:5(3),0,3,11,14,in,0,6,5,7,in,,,,,
Page 1,36,48.5,15.75,A:48  I:11(3)->A:15 I:14(1)___I:5(2)->A:15 I:7(2)___I:3.5->A:14.5 I:2.5(4),0,3,11,14,in,0,4,5,7,in,0,4,3.5,2.5,in
Page 1,36c,48.5,15.75,A:48  I:7(1)->A:15.6 I:5(3)___I:11(3)->A:15 I:14(1)___I:7(1)->A:15.6 I:5(3),0,3,11,14,in,0,6,5,7,in,,,,,
Page 2,36,48.5,15.75,A:47.8  I:18(2)->A:15 I:14(1)___I:5(2)->A:15 I:7(2),0,2,14,18,in,0,4,5,7,in,,,,,
Page 2,45,48.5,15.75,A:48  I:11(4)->A:15 I:14(1)___I:2.5->save,0,4,11,14,in,0,1,2.5,15.75,in,,,,,
Page 2,48,48.5,15.75,A:48  I:11(4)->A:15 I:14(1)___I:2.5->save,0,4,11,14,in,0,1,2.5,15.75,in,,,,,
Page 2,24,48.5,15.75,A:48.15  I:11(2)->A:15 I:14(1)___I:7(2)->A:15.6 I:5(3)___I:11(1)->A:15 I:14(1),0,3,11,14,in,0,6,5,7,in,,,,,
Page 2,24c,48.5,15.75,A:47.5  I:5(1)->A:15 I:7(2)___I:7(1)->A:15.6 I:5(3)___I:11(2)->A:15 I:14(1)___I:7(1)->A:15.6 I:5(3)___I:5(1)->A:15 I:7(2),0,2,11,14,in,0,10,5,7,in,,,,,
Page 2,10,48.5,15.75,A:47.8  I:5(9)->A:15 I:7(2),0,18,5,7,in,,,,,,,,,,
Page 3,48,48.5,15.75,A:48.2  I:18.25(2)->A:15 I:14.25(1)___I:11(1)->A:15 I:14,1,2,14,18,in,0,1,11,14,in,,,,,
Page 3,48,48.5,15.75,A:48.15 I:11.25(4)->A:15 I:14.25(1)___I:2->A:15.45 I:2(7),1,4,11,14,in,0,7,2,2,in,,,,,
