Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit4,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
page1,48,48.5,18,A:48  I:20.25(2)->A:17.2 I:16.25(1)___I:6.25(1)->A:17.5 I:6.25(2)___I:4->A:4,1,2,16,20,in,1,2,6,6,in,0,1,4,4,in,,,,,,,,,,,,,,,
page1,40,48.5,18,A:48  I:20.25(2)->A:17.2 I:16.25(1)___I:6.25(1)->A:17.5 I:6.25(2)___I:4->A:4,1,2,16,20,in,1,2,6,6,in,0,1,4,4,in,,,,,,,,,,,,,,,
page1,48,48.5,18,A:48.2  I:20.25(2)->A:17.2 I:16.25(1)___I:7->A:16.8 I:5(3),1,2,16,20,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page1,40,48.5,18,A:48.2  I:20.25(2)->A:17.2 I:16.25(1)___I:7->A:16.8 I:5(3),1,2,16,20,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page1,48,48.5,18,A:47.8  I:20.25(2)->A:17.2 I:16.25(1)___I:5.25(1)->A:17 I:5.25(3),1,2,16,20,in,1,3,5,5,in,,,,,,,,,,,,,,,,,,,,
page1,40,48.5,18,A:47.8  I:20.25(2)->A:17.2 I:16.25(1)___I:5.25(1)->A:17 I:5.25(3),1,2,16,20,in,1,3,5,5,in,,,,,,,,,,,,,,,,,,,,
page1,48,48.5,18,A:47.8  I:20.25(2)->A:17.2 I:16.25(1)___I:6(1)->A:17.7 I:6(2)___I:5(1)->A:5,1,2,16,20,in,0,1,5,5,in,0,2,6,6,in,,,,,,,,,,,,,,,
page1,40,48.5,18,A:47.8  I:20.25(2)->A:17.2 I:16.25(1)___I:6(1)->A:17.7 I:6(2)___I:5(1)->A:5,1,2,16,20,in,0,1,5,5,in,0,2,6,6,in,,,,,,,,,,,,,,,
page1,48,48.5,18,A:48  I:16.25->A:17.2 I:16.25(1)___I:12.25->A:17.2 I:16.25(1),1,1,16,16,in,1,1,12,16,in,,,,,,,,,,,,,,,,,,,,
page2,48,48.5,18,A:48  I:20(2)->A:17 I:16(1)___I:7(1)->A:16.8 I:5(3),0,2,16,20,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page2,40,48.5,18,A:48  I:20(2)->A:17 I:16(1)___I:7(1)->A:16.8 I:5(3),0,2,16,20,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page2,48,48.5,18,A:47.8  I:20(2)->A:17 I:16(1)___I:6(1)->A:17.7 I:6(2)___I:5(1)->A:5,0,2,16,20,in,0,2,6,6,in,0,1,5,5,in,,,,,,,,,,,,,,,
page2,40,48.5,18,A:47.8  I:20(2)->A:17 I:16(1)___I:6(1)->A:17.7 I:6(2)___I:5(1)->A:5,0,2,16,20,in,0,2,6,6,in,0,1,5,5,in,,,,,,,,,,,,,,,
page2,48,48.5,18,A:47.8  I:12(3)->A:17 I:16(1)___I:10(1)->A:17.2 I:8(2),0,3,12,16,in,0,2,8,10,in,,,,,,,,,,,,,,,,,,,,
page2,40,48.5,18,A:47.8  I:12(3)->A:17 I:16(1)___I:10(1)->A:17.2 I:8(2),0,3,12,16,in,0,2,8,10,in,,,,,,,,,,,,,,,,,,,,
page2,32,48.5,18,A:47.8  I:12(3)->A:17 I:16(1)___I:10(1)->A:17.2 I:8(2),0,3,12,16,in,0,2,8,10,in,,,,,,,,,,,,,,,,,,,,
page2,20,48.5,18,A:48  I:12(2)->A:17 I:16___I:10(1)->A:17.2 I:8(2)___I:12(1)->A:17 I:16,0,3,12,16,in,0,2,8,10,in,,,,,,,,,,,,,,,,,,,,
page2,40,48.5,18,A:48.1  I:20(1)->A:17 I:16___I:12(1)->A:17 I:16___I:8(1)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,1,16,20,in,0,1,12,16,in,0,2,8,8,in,0,3,5,7,in,,,,,,,,,,
page2,32,48.5,18,A:48.1  I:20(1)->A:17 I:16___I:12(1)->A:17 I:16___I:8(1)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,1,16,20,in,0,1,12,16,in,0,2,8,8,in,0,3,5,7,in,,,,,,,,,,
page3,48,48.5,18,A:47.5  I:16(2)->A:17 I:16(1)___I:12(1)->A:17 I:16(1),0,2,16,16,in,0,1,12,16,in,,,,,,,,,,,,,,,,,,,,
page3,40,48.5,18,A:48.1  I:16(2)->A:17 I:16___I:8(1)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,2,16,16,in,0,2,8,8,in,0,3,5,7,in,,,,,,,,,,,,,,,
page3,32,48.5,18,A:48.1  I:16(2)->A:17 I:16___I:7(1)->A:16.8 I:5(3)___I:8(1)->A:17.2 I:8(2),0,2,16,16,in,0,3,5,7,in,0,2,8,8,in,,,,,,,,,,,,,,,
page3,32,48.5,18,A:48.15  I:10(4)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,8,10,8,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page3,20,48.5,18,A:48.15  I:10(4)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,8,10,8,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
page3,10,48.5,18,A:48.15  I:10(4)->A:17.2 I:8(2)___I:7(1)->A:16.8 I:5(3),0,8,10,8,in,0,3,5,7,in,,,,,,,,,,,,,,,,,,,,
