cradled/flat,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
flat,48,48.5,25,A:47.8  I:36(1)->A:25 I:24(1)___I:9(1)->A:25 I:12(2),0,1,24,36,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:18(2)->A:25 I:24(1)___I:9(1)->A:25 I:12(2),0,2,18,24,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:12(3)->A:25 I:24(1)___I:9(1)->A:25 I:12(2),0,3,12,24,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:12(3)->A:25 I:12(2)___I:9(1)->A:25 I:12(2),0,6,12,12,in,0,2,9,12,in,,,,,,,,,,,,,,,,,,,,
flat,48,48.5,25,A:47.8  I:12(3)->A:25 I:12(2)___I:10(1)->A:25 I:8(3),0,6,12,12,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:36(1)->A:25 I:24(1)___I:10(1)->A:25 I:8(3),0,1,24,36,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:18(2)->A:25 I:24(1)___I:10(1)->A:25 I:8(3),0,2,18,24,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:12(3)->A:25 I:24(1)___I:10(1)->A:25 I:8(3),0,3,12,24,in ,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,36,48.5,25,A:47.8  I:12(3)->A:25 I:12(2)___I:10(1)->A:25 I:8(3),0,6,12,12,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
flat,30,48.5,25,A:48  I:12(2)->A:25 I:12(2)___I:10(1)->A:25 I:8(3)___I:12(1)->A:25 I:12(2),0,6,12,12,in,0,3,8,10,in,,,,,,,,,,,,,,,,,,,,
