Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit4,Cradled,Quantity,Dimension 1,Dimension 2,Unit5,Cradled,Quantity,Dimension 1,Dimension 2,Unit
page 1,48,48.5,32,A:47.8  I:40.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.4 I:24.25(1)___I:6.25(1),1,1,30,40,in,1,1,6,24,in,1,1,6,6,in,,,,,,,,,,,,,,,
page 1,48,48.5,32,A:47.8  I:40.25->A:31 I:30.25___I:6.25->A:31.4 I:18.25(1)___I:12.25(1),1,1,30,40,in,1,1,6,12,in,1,1,6,18,in,,,,,,,,,,,,,,,
page 1,48,48.5,32,A:47.8  I:40.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.6 I:12.25(2)___I:6.25(1),1,1,30,40,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,,,,,,
page 1,40,48.5,32,A:47.8  I:40.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.6 I:12.25(2)___I:6.25(1),1,1,30,40,in,1,2,6,12,in,1,1,6,6,in,,,,,,,,,,,,,,,
page 1,48,48.5,32,A:47.8  I:40.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,1,30,40,in,1,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 1,40,48.5,32,A:47.8  I:40.25(1)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,1,30,40,in,1,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 1,48,48.5,32,A:48  I:40.25(1)->A:31 I:30.25(1)___I:7(1)->A:31.5 I:5(6),1,1,30,40,in,0,6,5,7,in,,,,,,,,,,,,,,,,,,,,
page 1,40,48.5,32,A:48  I:40.25(1)->A:31 I:30.25(1)___I:7(1)->A:31.5 I:5(6),1,1,30,40,in,0,6,5,7,in,,,,,,,,,,,,,,,,,,,,
page 1,48,48.5,32,A:48  I:40.25(1)->A:31 I:30.25(1)___I:6(1)->A:31.4 I:6(5),1,1,30,40,in,0,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 1,40,48.5,32,A:48  I:40.25(1)->A:31 I:30.25(1)___I:6(1)->A:31.4 I:6(5),1,1,30,40,in,0,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 2,48,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,2,20,30,in,1,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 2,40,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6.25(1)->A:31.9 I:6.2(5),1,2,20,30,in,1,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 2,40,48.5,32,A:47.8  I:20.25(2)->A:31 I:30.25(1)___I:6->A:31.4 I:6(5),1,2,20,30,in,0,5,6,6,in,,,,,,,,,,,,,,,,,,,,
page 2,30,48.5,32,A:48  I:10.25(3)->A:31 I:30.25(1)___I:8(2)->A:31.2 I:10(3),1,3,10,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
page 2,24,48.5,32,A:48  I:10.25(3)->A:31 I:30.25(1)___I:8(2)->A:31.2 I:10(3),1,3,10,30,in,0,6,8,10,in,,,,,,,,,,,,,,,,,,,,
