Page,Grade,TerceroLength,TerceroWidth,CuttingInstruction,Cradled,Quantity,Dimension1/1,Dimension1/2,Unit,Cradled,Quantity2,Dimension2/1,Dimension2/2,Unit2,Cradled,Quantity3,Dimension3/1,Dimension3/2,Unit3,Cradled,Quantity4,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit,Cradled,Quantity,Dimension 1,Dimension 2,Unit
1,48,49.25,39,A:48.8  I:48.25->A:37.5 I:36.25,1,1,48,36,in,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,49.25,39,A:49  I:36.25(1)->A:37.5 I:36.25___I:12.25(1)->A:38.3 I:9.25(4),1,1,36,36,in,1,4,9,12,in,,,,,,,,,,,,,,,,,,,,
1,36,49.25,39,A:49  I:36.25(1)->A:37.5 I:36.25___I:12.25(1)->A:38.3 I:9.25(4),1,1,36,36,in,1,4,9,12,in,,,,,,,,,,,,,,,,,,,,
1,48,49.25,39,A:49  I:36.25(1)->A:37.5 I:36.25(1)___I:12.25(1)->A:38.1 I:12.25(3),1,1,36,36,in,1,3,12,12,in,,,,,,,,,,,,,,,,,,,,
1,48,49.25,39,A:49  I:36.25->A:37.5 I:36.25___I:12.25->A:38 I:24.25(1) I:12.25,1,1,36,36,in,1,1,12,24,in,1,1,12,12,in,,,,,,,,,,,,,,,
1,48,49.25,39,A:49  I:36.25->A:37.5 I:36.25(1)___I:12.25->A:37.5 I:36.25(1),1,1,36,36,in,1,1,12,36,in,,,,,,,,,,,,,,,,,,,,
1,48,49.25,39,A:48.9  I:36.25(1)->A:37.5 I:36.25(1)___I:12(1)->A:37.8 I:9(4),1,1,36,36,in,0,4,9,12,in,,,,,,,,,,,,,,,,,,,,
1,36,49.25,39,A:48.9  I:36.25(1)->A:37.5 I:36.25(1)___I:12(1)->A:37.8 I:9(4),1,1,36,36,in,0,4,9,12,in,,,,,,,,,,,,,,,,,,,,
1,48,49.25,39,A:48.9  I:36.25->A:37.5 I:36.25(1)___I:12->A:37.5 I:12(3),1,1,36,36,in,0,3,12,12,in,,,,,,,,,,,,,,,,,,,,
1,36,49.25,39,A:48.9  I:36.25->A:37.5 I:36.25(1)___I:12->A:37.5 I:12(3),1,1,36,36,in,0,3,12,12,in,,,,,,,,,,,,,,,,,,,,
2,36c,49.25,39,A:48.95  I:6(1)->A:38 I:6(6)___I:36.25(1)->A:37.5 I:36.25(1)___I:6(1)->A:38 I:6(6),1,1,36,36,in,0,12,6,6,in,,,,,,,,,,,,,,,,,,,,
2,36,49.25,39,A:49  I:30.25->A:37.5 I:36.25___I:9(2)->A:37.5 I:12(3),1,1,30,36,in,0,6,9,12,in,,,,,,,,,,,,,,,,,,,,
2,30,49.25,39,A:49  I:30.25->A:37.5 I:36.25___I:9(2)->A:37.5 I:12(3),1,1,30,36,in,0,6,9,12,in,,,,,,,,,,,,,,,,,,,,
2,30c,49.25,39,A:49  I:9(1)->A:37.5 I:12(3)___I:30.25(1)->A:37.5 I:36.25(1)___I:9(1)->A:37.5 I:12(3),1,1,30,36,in,0,6,9,12,in,,,,,,,,,,,,,,,,,,,,
2,30,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.8 I:9(4),1,1,24,36,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
2,24,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.8 I:9(4),1,1,24,36,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
2,30,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.5 I:12(3),1,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
2,24,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.5 I:12(3),1,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
2,30,49.25,39,A:49  I:24.25(1)->A:38 I:18.25(2)___I:12(2)->A:37.8 I:9(4),1,2,18,24,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
2,24,49.25,39,A:49  I:24.25(1)->A:38 I:18.25(2)___I:12(2)->A:37.8 I:9(4),1,2,18,24,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
2,30,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.5 I:12(3),1,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
2,24,49.25,39,A:49  I:24.25(1)->A:37.5 I:36.25(1)___I:12(2)->A:37.5 I:12(3),1,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
3,36,49.25,39,A:48.9  I:36.25->A:38.1 I:12.25(3)___I:12->A:37.8 I:9(4),1,3,12,36,in,0,4,9,12,in,,,,,,,,,,,,,,,,,,,,
3,36,49.25,39,A:48.9  I:36.25(1)->A:37.5 I:36.25(1)___I:12(1)->A:37.5 I:12(3),1,1,36,36,in,0,3,12,12,in,,,,,,,,,,,,,,,,,,,,
3,30,49.25,39,A:48.85  I:24(1)->A:37.5 I:36___I:12(2)->A:37.8 I:9(4),0,1,24,36,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
3,24,49.25,39,A:48.85  I:24(1)->A:37.5 I:36___I:12(2)->A:37.8 I:9(4),0,1,24,36,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
3,30,49.25,39,A:48.85 I:24(1)->A:37.5 I:36(1)___I:12(2)->A:37.5 I:12(3),0,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
3,24,49.25,39,A:48.85 I:24(1)->A:37.5 I:36(1)___I:12(2)->A:37.5 I:12(3),0,1,24,36,in,0,6,12,12,in,,,,,,,,,,,,,,,,,,,,
3,30,49.25,39,A:48.85  I:24(1)->A:37.5 I:36(1)___I:12(2)->A:37.8 I:9(4),0,1,24,36,in,0,8,9,12,in,,,,,,,,,,,,,,,,,,,,
